Method,Top-1 Accuracy,Top-1 Accuracy CI Low,Top-1 Accuracy CI High,Top-1 MCES,Top-1 MCES CI Low,Top-1 MCES CI High,Top-1 Tanimoto,Top-1 Tanimoto CI Low,Top-1 Tanimoto CI High,Top-10 Accuracy,Top-10 Accuracy CI Low,Top-10 Accuracy CI High,Top-10 MCES,Top-10 MCES CI Low,Top-10 MCES CI High,Top-10 Tanimoto,Top-10 Tanimoto CI Low,Top-10 Tanimoto CI High,Paper,DOI,Comment,Publication date
DiffMS,0.023,,,18.45,,,0.28,,,0.0425,,,14.73,,,0.39,,,DiffMS: Diffusion Generation of Molecules Conditioned on Mass Spectra,https://doi.org/10.48550/arXiv.2502.09571,,2025-05-27
MADGEN,0.0131,,,27.47,,,0.2,,,0.0154,,,16.84,,,0.26,,,MADGEN: Mass-Spec attends to De Novo Molecular generation,https://doi.org/10.48550/arXiv.2501.01950,,2025-04-29
MIST + MSNovelist,0.0,,,45.55,,,0.06,,,0.0,,,30.13,,,0.15,,,DiffMS: Diffusion Generation of Molecules Conditioned on Mass Spectra,https://doi.org/10.48550/arXiv.2502.09571,Baseline reported in DiffMS paper,2025-05-27
MIST + Neuraldecipher,0.0,,,33.19,,,0.14,,,0.0,,,31.89,,,0.16,,,DiffMS: Diffusion Generation of Molecules Conditioned on Mass Spectra,https://doi.org/10.48550/arXiv.2502.09571,Re-evaluated baseline reported in DiffMS paper,2025-05-27
OMG (JESTR),0.0032,,,58.16,,,0.09,,,0.0255,,,56.99,,,0.14,,,Optimized De Novo Molecular Generation (OMG) for Mass Spectra Annotation Using Transfer and Reinforcement Learning,https://doi.org/10.1021/acs.analchem.5c01770,JESTR-based candidate generation variant,2025-09-16
OMG (ESP),0.0085,,,57.74,,,0.11,,,0.0282,,,56.77,,,0.15,,,Optimized De Novo Molecular Generation (OMG) for Mass Spectra Annotation Using Transfer and Reinforcement Learning,https://doi.org/10.1021/acs.analchem.5c01770,ESP-based candidate generation variant,2025-09-16
Random chemical generation,0.0,0.0,0.0,21.11,20.97,21.26,0.08,0.08,0.08,0.0,0.0,0.0,18.25,18.14,18.35,0.11,0.11,0.11,MassSpecGym: A benchmark for the discovery and identification of molecules,https://doi.org/10.48550/arXiv.2410.23326,,2025-01-14
SELFIES Transformer,0.0,0.0,0.0,38.88,38.57,39.2,0.08,0.08,0.08,0.0,0.0,0.0,26.87,26.66,27.11,0.13,0.13,0.13,MassSpecGym: A benchmark for the discovery and identification of molecules,https://doi.org/10.48550/arXiv.2410.23326,,2025-01-14
SMILES Transformer,0.0,0.0,0.0,79.39,78.64,80.08,0.03,0.03,0.04,0.0,0.0,0.0,52.13,51.45,52.81,0.1,0.09,0.1,MassSpecGym: A benchmark for the discovery and identification of molecules,https://doi.org/10.48550/arXiv.2410.23326,,2025-01-14
Spec2Mol,0.0,,,45.89,,,0.09,,,0.0,,,32.6,,,0.13,,,MADGEN: Mass-Spec attends to De Novo Molecular generation,https://doi.org/10.48550/arXiv.2501.01950,,2025-04-29
Spec2Mol (re-eval),0.0,,,37.76,,,0.12,,,0.0,,,29.4,,,0.16,,,DiffMS: Diffusion Generation of Molecules Conditioned on Mass Spectra,https://doi.org/10.48550/arXiv.2502.09571,Spec2Mol re-evaluated by DiffMS authors,2025-05-27
